Timestamp,Gate Voltage (V),Drain Voltage (V),Current Limit (A),Gate Current (A),Drain Current (A)
2025-04-21 18:44:37.708217,0.0,100.0,-1.057916e-10,1.422081e-05,0.001
2025-04-21 18:44:38.140496,0.0,100.0,-1.131903e-10,1.422073e-05,0.001
2025-04-21 18:44:38.587959,0.0,100.0,-7.357531e-11,1.422314e-05,0.001
2025-04-21 18:44:39.013315,0.0,100.0,-5.097409e-11,1.422893e-05,0.001
2025-04-21 18:44:39.426409,0.0,100.0,-6.54711e-11,1.422694e-05,0.001
2025-04-21 18:44:39.837710,0.0,100.0,-3.093994e-11,1.421837e-05,0.001
2025-04-21 18:44:40.257915,0.0,100.0,-6.290424e-11,1.422652e-05,0.001
2025-04-21 18:44:40.667586,0.0,100.0,-1.573854e-11,1.422673e-05,0.001
2025-04-21 18:44:41.081314,0.0,100.0,-2.832243e-11,1.422793e-05,0.001
2025-04-21 18:44:41.491732,0.0,100.0,-5.525281e-11,1.423975e-05,0.001
2025-04-21 18:44:41.906872,0.0,100.0,-6.496789e-11,1.422848e-05,0.001
2025-04-21 18:44:42.319802,0.0,100.0,-6.844107e-11,1.422067e-05,0.001
2025-04-21 18:44:42.746270,0.0,100.0,-1.105788e-11,1.423038e-05,0.001
2025-04-21 18:44:43.158927,0.0,100.0,-7.966595e-11,1.422503e-05,0.001
2025-04-21 18:44:43.591154,0.0,100.0,-3.481582e-11,1.424295e-05,0.001
2025-04-21 18:44:44.003960,0.0,100.0,-3.008419e-11,1.423523e-05,0.001
2025-04-21 18:44:44.413756,0.0,100.0,-4.639352e-11,1.423501e-05,0.001
2025-04-21 18:44:44.844909,0.0,100.0,-3.119163e-11,1.42397e-05,0.001
2025-04-21 18:44:45.275648,0.0,100.0,-3.869188e-11,1.424637e-05,0.001
2025-04-21 18:44:45.686978,0.0,100.0,-4.256773e-11,1.424688e-05,0.001
2025-04-21 18:44:46.102201,0.0,100.0,-2.429541e-11,1.424179e-05,0.001
2025-04-21 18:44:46.510539,0.0,100.0,-8.912818e-13,1.423807e-05,0.001
2025-04-21 18:44:46.926494,0.0,100.0,-1.483262e-11,1.424268e-05,0.001
2025-04-21 18:44:47.355272,0.0,100.0,9.936575e-11,1.424449e-05,0.001
2025-04-21 18:44:47.763648,0.0,100.0,2.021389e-10,1.424451e-05,0.001
2025-04-21 18:44:48.193555,0.0,100.0,-3.682936e-11,1.424334e-05,0.001
2025-04-21 18:44:48.619408,0.0,100.0,1.732799e-11,1.424542e-05,0.001
2025-04-21 18:44:49.030816,0.0,100.0,-3.481593e-11,1.423492e-05,0.001
2025-04-21 18:44:49.451792,0.0,100.0,-2.907742e-11,1.424511e-05,0.001
2025-04-21 18:44:49.858053,0.0,100.0,-3.156099e-12,1.424753e-05,0.001
2025-04-21 18:44:50.270551,0.0,100.0,-8.33409e-11,1.42527e-05,0.001
2025-04-21 18:44:50.698693,0.0,100.0,-1.629218e-11,1.425503e-05,0.001
2025-04-21 18:44:51.111633,0.0,100.0,-3.627558e-11,1.424881e-05,0.001
2025-04-21 18:44:51.523882,0.0,100.0,-5.062189e-11,1.424573e-05,0.001
2025-04-21 18:44:51.970348,0.0,100.0,-2.062086e-11,1.425597e-05,0.001
2025-04-21 18:44:52.379281,0.0,100.0,-4.92125e-11,1.424437e-05,0.001
2025-04-21 18:44:52.792608,0.0,100.0,-6.904466e-11,1.424169e-05,0.001
2025-04-21 18:44:53.201660,0.0,100.0,2.522994e-11,1.424491e-05,0.001
2025-04-21 18:44:53.613711,0.0,100.0,3.333319e-11,1.424671e-05,0.001
2025-04-21 18:44:54.025859,0.0,100.0,-1.593987e-11,1.424764e-05,0.001
2025-04-21 18:44:54.451701,0.0,100.0,-3.174531e-11,1.424469e-05,0.001
2025-04-21 18:44:54.881220,0.0,100.0,-7.307218e-11,1.42427e-05,0.001
2025-04-21 18:44:55.298542,0.0,100.0,-7.312215e-11,1.425135e-05,0.001
2025-04-21 18:44:55.705514,0.0,100.0,1.445942e-11,1.425304e-05,0.001
